abduco 0.6-7
acpi 1.7-3
acpid 2.0.34-1
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
adobe-source-sans-fonts 3.052-1
alacritty 0.13.2-2
alsa-firmware 1.2.4-3
alsa-utils 1.2.11-1
android-sdk-platform-tools 35.0.1-1
ark 24.02.2-1
arp-scan-git r459.5be1e1b-1
arrow 16.0.0-1
audiocd-kio 24.02.2-1
autojump 22.5.3-9
avahi 1:0.8+r194+g3f79789-2
b43-fwcutter 019-4
baobab 46.0-1
base 3-2
base-devel 1-2
bash-completion 2.11-3
bluedevil 1:6.0.4-1
blueman 2.4.1-2
bluez-hcitool 5.72-1
bluez-tools 0.2.0-5
bluez-utils 5.75-1
brave-browser 1.66.115-1
breeze-gtk 6.0.4.1-1
btrfs-progs 6.8.1-1
bzip2 1.0.8-6
caddy 2.7.6-1
certbot 2.8.0-2
certbot-nginx 2.8.0-2
chatgpt-desktop-bin 1.1.0-1
chatgpt-shell-cli 0.5-5
cheese 44.1-2
clang11-libs-minimal 11.1.0-1
coreutils 9.5-1
cpupower 6.7-3
cronie 1.7.2-1
cryptsetup 2.7.2-1
ctags 1:6.1.0-2
device-mapper 2.03.23-3
dhclient 4.4.3.P1-3
dhcpcd 10.0.6-1
diffutils 3.10-1
discord 0.0.54-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.90-1
docker 1:26.1.1-1
docker-buildx 0.14.0-1
dolphin 24.02.2-2
dolphin-plugins 24.02.2-1
dosfstools 4.2-3
drawio 20.7.4-1
e2fsprogs 1.47.0-2
ecryptfs-utils 111-8
efibootmgr 18-3
exfatprogs 1.2.2-1
f2fs-tools 1.16.0-2
fbreader-bin 2.0.5_1-1
fd 10.0.0-1
feh 3.10.2-1
ffmpeg 2:6.1.1-7
ffmpegthumbs 24.02.2-1
fish 3.7.1-2
flameshot 12.1.0-3
foliate 3.1.1-1
fzf 0.51.0-1
gcc-fortran 13.2.1-6
gdal 3.8.5-4
gdm 46.0-1
gimp 2.10.38-1
git-lfs 3.5.1-1
github-cli 2.49.0-1
github-desktop-bin 3.3.12_linux2-1
gnome-boxes 46.1-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
grub 2.12-4
grub-btrfs 4.13-1
grub-theme-manjaro 20.2-16
gst-libav 1.24.3-1
gst-plugins-bad 1.24.3-1
gst-plugins-base 1.24.3-1
gst-plugins-good 1.24.3-1
gst-plugins-ugly 1.24.3-1
gvim 9.1.0380-1
gwenview 24.02.2-1
haroopad 0.13.1-6
haveged 1.9.18-2
htop 3.3.0-2
hyprland 0.39.1-5
i3lock 2.15-1
imagewriter 1.10.1432200249.1d253d9.2.20-1
imgcat 1.2.0-2
inetutils 2.5-1
inotify-tools 4.23.9.0-1
intel-ucode 20240312-1
inxi 3.3.34.1-1
iptables-nft 1:1.8.10-1
iwd 2.17-2
jfsutils 1.1.15-9
julia 2:1.10.3-2
kaccounts-providers 24.02.2-1
kamera 24.02.2-1
kanshi 1.6.0-1
kate 24.02.2-1
kcalc 24.02.2-1
kde-gtk-config 6.0.4-1
kdegraphics-thumbnailers 24.02.2-1
kdenetwork-filesharing 24.02.2-1
kdeplasma-addons 6.0.4-1
keynav 0.20180821.0-2
kfind 24.02.2-1
kgamma 6.0.4-1
khelpcenter 24.02.2-1
khotkeys 5.27.11-1
kimageformats5 5.115.0-2
kinfocenter 6.0.4-1
kinit 5.115.0-1
kio-extras 24.02.2-1
kitty 0.33.1-4
kmenuedit 6.0.4-1
kodi 21.0-4
konsole 24.02.2-1
kscreen 6.0.4-1
kscreenlocker 6.0.4-1
ksshaskpass 6.0.4-1
ksystemlog 24.02.2-1
kwallet-pam 6.0.4-1
kwalletmanager 24.02.2-1
kwayland-integration 6.0.4-1
kwin 6.0.4.1-1
kwrited 6.0.4-1
ldc 3:1.37.0-1
less 1:643-2
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 1:24.0.6-1
lib32-libva-vdpau-driver 0.7.4-7
lib32-mesa-demos 9.0.0-1
lib32-mesa-vdpau 1:24.0.6-1
lib32-vulkan-intel 1:24.0.6-1
lib32-vulkan-radeon 1:24.0.6-1
libcanberra 1:0.30+r2+gc0620e4-3
libdvdcss 1.4.3-1
libgda 5.2.10-5
libreoffice-fresh 24.2.3-1
libva-intel-driver 2.4.1-2
libva-mesa-driver 1:24.0.6-1
libva-vdpau-driver 0.7.4-6
lightdm 1:1.32.0-6
linux515-virtualbox-host-modules 7.0.18-1
linux61 6.1.90-1
linux61-virtualbox-host-modules 7.0.18-1
llvm-rc-bin 11.0.0-6
logrotate 3.21.0-2
lvm2 2.03.23-3
lzip 1.24.1-1
man-db 2.12.1-1
man-pages 6.7-1
manjaro-alsa 20221002-1
manjaro-application-utility 1.3.3-11
manjaro-browser-settings 20231111-1
manjaro-hello 0.7.2-6
manjaro-hotfixes 2024.1-2
manjaro-kde-settings 20240501-1
manjaro-pulse 20221015-2
manjaro-release 24.0.0-1
manjaro-settings-manager-kcm 0.5.7-21
manjaro-settings-manager-knotifier 0.5.7-21
manjaro-system 20230401-1
manjaro-zsh-config 0.26-1
mdadm 4.3-2
memtest86+ 7.00-1
memtest86+-efi 7.00-1
mesa-demos 9.0.0-4
mesa-vdpau 1:24.0.6-1
mhwd 0.6.5-36
mhwd-db 0.6.5-36
milou 6.0.4-1
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mpv 1:0.38.0-2
mtpfs 1.1-4
nano 8.0-1
nano-syntax-highlighting 2020.10.10+10+g1aa64a8-2
nautilus 46.1-1
ncdu 2.4-1
neofetch 7.1.0-2
neovide 0.12.2-1
neovim 0.9.5-6
networkmanager 1.46.0-2
networkmanager-l2tp 1.20.14-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.4-1
networkmanager-pptp 1.2.12-3
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.4-1
nginx 1.26.0-3
nmap 7.94-2
nodejs 21.7.3-1
nomachine 8.11.3-1
noto-fonts 1:24.5.1-1
npm 10.7.0-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
numlockx 1.2-5
nvm 0.39.7-1
okular 24.02.2-1
openai-client-git 1.0.0-1
openbsd-netcat 1.226_1-2
openresolv 3.13.2-2
openssh 9.7p1-2
os-prober 1.81-1
outline-client-appimage 1.13.0-2
oxygen-icons 1:6.0.0-2
oxygen5 6.0.4-1
p7zip 1:17.05-2
packagekit-qt5 1.1.1-1
pamac-cli 11.6.0-4
pamac-gtk 11.7.1-3
pamac-tray-icon-plasma 0.1.3-2
pandoc-cli 0.1.1.1-97
partitionmanager 24.02.2-1
pavucontrol 1:5.0+r66+gc330506-1
pdftk 3.3.3-3
perl 5.38.2-1
perl-file-mimeinfo 0.34-1
perl-tk 804.036-5
phonon-qt5-gstreamer 4.10.0-4
plasma-browser-integration 6.0.4-1
plasma-desktop 6.0.4-1
plasma-nm 6.0.4-1
plasma-pa 6.0.4-1
plasma-simplemenu 1.0.12-1
plasma-systemmonitor 6.0.4-1
plasma-thunderbolt 6.0.4-1
plasma-workspace 6.0.4-1.0
plymouth 22.02.122-18
plymouth-kcm 6.0.4-1
plymouth-theme-manjaro 2.2-1
poppler-data 0.4.12-1
power-profiles-daemon 0.21-1
powerdevil 6.0.4-1
powertop 2.15-1
pulseaudio-bluetooth 17.0-3
pulseaudio-ctl 1.70-1
pulseaudio-zeroconf 17.0-3
pyradio 0.9.3.7-1
python-numpy 1.26.4-2
python-pandas 1.5.3-4
python-pip 24.0-2
python-pydot 2.0.0-1
python-rpy2 3.5.16-2
python-sympy 1.12.1rc1-1
qt5-imageformats 5.15.13+kde+r7-1
qt5-virtualkeyboard 5.15.13-1
qtile 0.25.0-2
quarto-cli-bin-pre-release 1.5.39-1
quilt 0.67-2
ranger 1.9.3+720+g38bb8901-1
reiserfsprogs 3.6.27-4
ripgrep 14.1.0-1
rstudio-bin 2023.06.0.421-1
rstudio-server-bin 2024.04.1_748-1
rsync 3.3.0-2
s-nail 14.9.24-2
samba 4.20.0-3
sc-im 0.8.3-2
scim 1.4.18-4
scrcpy 2.4-1
sddm 0.21.0-4
sddm-breath-theme 24.0.0-3
sddm-kcm 6.0.4-1
signal-desktop 7.8.0-1
snapd 2.62-2
sof-firmware 2024.03-1
spectacle 24.02.2-1
spectre-meltdown-checker 0.46+23+g0f2edb1-1
speedtest-cli 2.1.3-8
squashfs-tools 4.6.1-1
sshfs 3.7.3-1
streamlink-twitch-gui 2.5.2-1
sudo 1.9.15.p5-1
sway 1:1.9-3
sysfsutils 2.1.1-1
systemd 255.5-3
systemd-kcm 1.2.1-8
systemsettings 6.0.4-1
teams-for-linux 1.4.37-1
telegram-desktop 5.0.1-1
terminus-font 4.49.1-6
texinfo 7.1-2
texlive-basic 2024.2-1
texlive-bin 2024.2-1
texlive-latex 2024.2-1
thorium-browser-bin 124.0.6367.218-1
timeshift-autosnap-manjaro 0.10-1
tk 8.6.14-3
tmux 3.4-7
ttf-dejavu 2.37+18+g9b5d1b2f-7
twin-git 0.9.0.r131.g553bd87-1
udiskie 2.5.2-2
udisks2 2.10.1-4
udunits 2.2.28-3
ufw 0.36.2-4
unarchiver 1.10.8-1
usb_modeswitch 2.6.1-3
usbutils 017-1
vi 1:070224-6
virt-manager 4.1.0-3
virt-viewer 11.0-2
visual-studio-code-bin 1.89.1-2
vulkan-intel 1:24.0.6-1
vulkan-radeon 1:24.0.6-1
waydroid 1.4.2-1
wget 1.24.5-2
whatsapp-for-linux 1.6.5-1
which 2.21-6
wireless-regdb 2024.01.23-1
wpa_supplicant 2:2.10-8
xdg-desktop-portal-kde 6.0.4-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xf86-input-elographics 1.4.4-1
xf86-input-evdev 2.10.6-4
xf86-input-libinput 1.4.0-1
xf86-input-void 1.4.2-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-intel 1:2.99.917+923+gb74b67f0-2
xf86-video-nouveau 1.0.17-3
xfce4-screenshooter 1.10.5-1
xfsprogs 6.7.0-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.13-1
xorg-twm 1.0.12-1
xorg-xinit 1.4.2-1
xorg-xkill 1.0.6-1
xsel 1.2.1-1
yakuake 24.02.2-1
yay 12.3.5-1
zathura 0.5.5-2
zoom 6.0.2-1
